driverid,lap,Position,Time
albon,1,10,1:34.539
sainz,1,11,1:35.138
ricciardo,1,12,1:35.756
perez,1,13,1:36.385
stroll,1,14,1:36.721
giovinazzi,1,15,1:37.251
norris,1,16,1:37.604
kubica,1,17,1:38.564
hulkenberg,1,18,1:38.687
russell,1,19,1:39.457
raikkonen,1,20,1:43.029
bottas,1,1,1:32.846
hamilton,1,2,1:33.847
max_verstappen,1,3,1:35.298
hulkenberg,1,4,1:36.138
stroll,1,5,1:36.874
ricciardo,1,6,1:37.686
gasly,1,7,1:38.443
norris,1,8,1:39.451
albon,1,9,1:39.919
leclerc,1,10,1:40.456
sainz,1,11,1:40.996
ocon,1,12,1:41.495
kevin_magnussen,1,13,1:41.958
kvyat,1,14,1:42.608
giovinazzi,1,15,1:43.606
grosjean,1,16,1:43.776
russell,1,17,1:44.029
latifi,1,18,1:44.999
raikkonen,1,19,1:45.241
vettel,1,20,1:45.844
max_verstappen,1,1,1:21.986
bottas,1,2,1:23.015
sainz,1,3,1:24.727
norris,1,4,1:25.729
gasly,1,5,1:26.902
hamilton,1,6,1:27.982
vettel,1,7,1:28.935
perez,1,8,1:29.638
giovinazzi,1,9,1:30.113
ocon,1,10,1:30.963
stroll,1,11,1:31.448
raikkonen,1,12,1:33.051
ricciardo,1,13,1:33.662
alonso,1,14,1:34.069
russell,1,15,1:34.901
latifi,1,16,1:36.040
tsunoda,1,17,1:36.731
mick_schumacher,1,18,1:37.443
mazepin,1,19,1:38.076
leclerc,1,1,1:36.677
max_verstappen,1,2,1:37.528
sainz,1,3,1:38.365
perez,1,4,1:39.040
bottas,1,5,1:39.966
gasly,1,6,1:40.671
alonso,1,7,1:41.480
hamilton,1,8,1:41.774
norris,1,9,1:42.873
tsunoda,1,10,1:43.367
ricciardo,1,11,1:44.136
mick_schumacher,1,12,1:44.379
kevin_magnussen,1,13,1:44.954
zhou,1,14,1:45.500
russell,1,15,1:46.166
albon,1,16,1:46.365
latifi,1,17,1:47.320
ocon,1,18,1:47.446
stroll,1,19,1:53.387
vettel,1,20,1:54.106
